City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
193,Hargeysa,SO,2023-01-03 01:41:10,9.56,44.065,55.87,96,15,13.0,few clouds
194,Qaqortoq,GL,2023-01-03 01:41:11,60.7167,-46.0333,-4.54,65,64,6.55,broken clouds
195,Sfantu Gheorghe,RO,2023-01-03 01:38:18,45.8667,25.7833,46.56,54,16,1.21,few clouds
196,Gazli,UZ,2023-01-03 01:41:12,40.1333,63.45,39.54,54,100,14.94,overcast clouds
197,Semnan,IR,2023-01-03 01:41:13,35.5729,53.3971,31.84,59,0,2.3,haze
198,The Valley,AI,2023-01-03 01:41:13,18.217,-63.0578,77.83,73,0,15.14,clear sky
199,Nantucket,US,2023-01-03 01:41:14,41.2835,-70.0995,44.74,91,0,4.61,clear sky
200,Lamar,US,2023-01-03 01:38:48,33.6668,-95.5836,69.71,94,100,14.97,overcast clouds
201,Ust-Barguzin,RU,2023-01-03 01:41:15,53.45,108.9833,-13.72,92,41,5.08,scattered clouds
202,Ibanda,TZ,2023-01-03 01:41:16,-2.7974,32.4746,61.86,79,21,2.91,few clouds
203,Edgewater,US,2023-01-03 01:41:16,28.9889,-80.9023,67.24,100,75,0.0,mist
204,Coihaique,CL,2023-01-03 01:36:35,-45.5752,-72.0662,55.35,50,75,6.91,broken clouds
205,Saint-Francois,FR,2023-01-03 01:41:17,46.4154,3.9054,42.24,93,100,2.3,mist
206,Zhigansk,RU,2023-01-03 01:41:18,66.7697,123.3711,-21.84,98,100,15.26,overcast clouds
207,Castanos,MX,2023-01-03 01:41:18,26.7833,-101.4167,74.79,27,40,9.22,scattered clouds
208,Sioux Lookout,CA,2023-01-03 01:39:26,50.1001,-91.917,17.67,93,100,8.05,mist
209,At-Bashi,KG,2023-01-03 01:41:19,41.1702,75.8106,-1.3,74,14,2.28,few clouds
210,Lasa,IT,2023-01-03 01:41:19,46.6166,10.7002,38.03,94,100,1.21,overcast clouds
211,Vilhena,BR,2023-01-03 01:41:20,-12.7406,-60.1458,69.82,97,100,5.44,overcast clouds
212,Padang,ID,2023-01-03 01:38:00,-0.9492,100.3543,77.05,76,100,0.83,overcast clouds
213,Bubaque,GW,2023-01-03 01:41:20,11.2833,-15.8333,78.04,76,45,9.89,scattered clouds
214,Vao,NC,2023-01-03 01:41:21,-22.6667,167.4833,76.46,75,0,11.14,clear sky
215,Nosy Varika,MG,2023-01-03 01:41:21,-20.5833,48.5333,73.51,79,94,5.3,overcast clouds
216,Saint George,US,2023-01-03 01:37:01,37.1041,-113.5841,43.95,69,100,4.61,overcast clouds
217,Filingue,NE,2023-01-03 01:41:22,14.3521,3.3168,61.65,21,11,10.96,few clouds
218,San Patricio,US,2023-01-03 01:37:12,28.017,-97.5169,76.15,89,100,14.18,overcast clouds
219,Yulara,AU,2023-01-03 01:41:23,-25.2406,130.9889,94.82,29,47,22.53,scattered clouds
220,Carlsbad,US,2023-01-03 01:39:58,33.1581,-117.3506,57.45,79,100,14.0,overcast clouds
221,Sorland,NO,2023-01-03 01:41:24,67.667,12.6934,37.26,58,100,20.18,light rain
222,Pevek,RU,2023-01-03 01:41:25,69.7008,170.3133,-37.66,100,100,4.36,overcast clouds
223,Narrabri,AU,2023-01-03 01:41:25,-30.3167,149.7833,89.53,46,4,5.01,clear sky
224,Eydhafushi,MV,2023-01-03 01:42:26,5.1033,73.0708,80.94,61,1,17.18,clear sky
225,Funadhoo,MV,2023-01-03 01:42:26,6.15,73.2667,80.76,64,3,14.97,clear sky
226,Tautira,PF,2023-01-03 01:42:27,-17.7333,-149.15,80.65,73,39,17.07,scattered clouds
227,Cervo,ES,2023-01-03 01:42:27,43.6702,-7.4101,47.55,81,18,9.95,few clouds
228,Benghazi,LY,2023-01-03 01:42:28,32.1167,20.0667,59.72,65,0,10.8,clear sky
229,Taoudenni,ML,2023-01-03 01:42:28,22.6783,-3.9836,62.42,16,0,8.68,clear sky
230,Murgab,TM,2023-01-03 01:42:28,37.4966,61.9714,31.87,86,4,9.22,clear sky
231,Banff,CA,2023-01-03 01:42:29,51.1762,-115.5698,24.03,86,91,4.61,overcast clouds
232,Talnakh,RU,2023-01-03 01:42:29,69.4865,88.3972,-27.83,98,95,4.54,overcast clouds
233,Sovetskiy,RU,2023-01-03 01:42:30,61.3614,63.5842,6.4,98,100,3.29,overcast clouds
234,Guerrero Negro,MX,2023-01-03 01:42:30,27.9769,-114.0611,58.91,65,0,12.77,clear sky
235,Cayenne,GF,2023-01-03 01:42:31,4.9333,-52.3333,75.24,88,100,4.61,overcast clouds
236,Bitung,ID,2023-01-03 01:42:31,1.4451,125.1824,86.85,66,100,2.28,overcast clouds
237,Oussouye,SN,2023-01-03 01:42:31,12.485,-16.5469,68.18,58,100,4.36,overcast clouds
238,Nhulunbuy,AU,2023-01-03 01:42:32,-12.2333,136.7667,79.41,94,75,5.75,heavy intensity rain
239,Badah,PK,2023-01-03 01:42:32,27.3332,68.0135,54.0,27,0,6.51,clear sky
240,Monterey,US,2023-01-03 01:42:32,36.2505,-121.2516,46.18,87,100,8.1,overcast clouds
241,Elkton,US,2023-01-03 01:42:33,39.6068,-75.8333,53.19,85,100,3.85,overcast clouds
242,Kidal,ML,2023-01-03 01:42:33,18.4411,1.4078,58.06,26,100,10.42,overcast clouds
243,Kyra,RU,2023-01-03 01:42:34,49.5776,111.9753,-9.62,85,10,3.36,clear sky
244,Tulun,RU,2023-01-03 01:42:34,54.5611,100.5792,-8.03,100,92,3.76,overcast clouds
245,Northam,GB,2023-01-03 01:42:34,51.0333,-4.2167,44.62,93,100,15.46,overcast clouds
246,Xuddur,SO,2023-01-03 01:42:35,4.1213,43.8894,68.86,69,5,17.69,clear sky
247,Casper,US,2023-01-03 01:38:03,42.8666,-106.3131,26.73,89,100,16.11,overcast clouds
248,Balkhash,KZ,2023-01-03 01:42:35,46.844,74.9804,30.81,100,100,11.18,mist
249,Naryan-Mar,RU,2023-01-03 01:42:36,67.6713,53.087,-0.44,95,100,9.44,overcast clouds
250,Nizwa,OM,2023-01-03 01:42:36,22.9333,57.5333,63.01,45,99,5.01,overcast clouds
251,Vardo,NO,2023-01-03 01:42:36,70.3705,31.1107,28.38,86,40,21.85,scattered clouds
252,Port-Gentil,GA,2023-01-03 01:42:37,-0.7193,8.7815,77.14,86,100,11.05,overcast clouds
253,Taylor,US,2023-01-03 01:42:37,32.3001,-99.8337,62.06,34,20,13.8,few clouds
254,Tasiilaq,GL,2023-01-03 01:42:38,65.6145,-37.6368,3.36,63,22,6.53,few clouds
255,Kouroussa,GN,2023-01-03 01:42:38,10.65,-9.8833,68.04,19,2,4.45,clear sky
256,Campo Grande,BR,2023-01-03 01:42:38,-20.4428,-54.6464,71.15,88,75,11.5,light rain
257,Moerai,PF,2023-01-03 01:42:39,-22.4333,-151.3333,78.8,86,100,21.12,moderate rain
258,Ust-Tsilma,RU,2023-01-03 01:42:39,65.441,52.1498,-3.89,100,96,2.55,overcast clouds
259,Tabas,IR,2023-01-03 01:42:39,33.5959,56.9244,40.73,33,0,4.03,clear sky
